	Sp_ds	Sp_hs	Sp_log	Sp_plat
Q9Y6Z9	20.58	26.41	387.37	4.95
c4733_g1_i2	0.00	140.80	0.00	0.00
c241_g1_i2	9.79	0.01	7.84	37.08
c4743_g1_i1	680.35	1067.14	114.89	171.88
O74312	7.23	101.52	0.00	0.00
Q9P7H9	61.42	14.21	34.18	131.98
O74383	98.11	11.51	3.28	583.13
O14123	39.43	105.35	8.79	22.21
Q1MTS0	11.91	35.82	122.23	26.01
Q9Y815	157.05	267.76	14.09	178.31
Q9P775	13.02	84.74	152.89	22.73
P36582	34.12	243.83	22.93	24.71
O59827	315.62	48.50	25.14	207.27
P40903	670.42	221.22	56.72	612.59
Q9UT79	0.00	33.81	0.00	22.50
Q09919	8.07	11.36	519.13	5.30
O60057	451.53	252.40	15.40	407.44
Q9HFE8	1.12	61.61	0.00	1.15
O94592	79.39	12.81	26.83	290.35
Q10361	28.63	0.00	30.24	80.76
Q9P7U2	448.94	640.16	169.88	40.81
O14345	84.90	57.62	20.53	172.89
Q9UTI9	807.31	34.61	15.82	1449.08
Q7LKX0	148.52	52.57	96.60	501.69
P53693	5339.15	3244.36	227.27	3238.78
Q9UTE6	13.26	56.01	143.03	14.68
c1717_g1_i1	4.63	9.56	0.00	49.76
c4913_g1_i1	816.41	3451.39	1395.82	366.56
Q9UTE7	20.34	0.00	15.16	3.76
O74899	6.49	2.33	10.07	213.78
O14015	586.89	18.27	7.15	1479.83
O74752	101.49	1484.17	384.86	21.08
O14143	75.53	31.66	0.00	625.60
O94611	15.65	44.06	0.00	18.32
Q9P7F4	244.58	326.16	14.91	125.65
O14388	1080.59	2998.67	3045.40	228.74
O13339	17.42	0.00	11.55	16.31
O94515	0.00	0.00	0.00	35.87
c2937_g2_i1	7.42	26.84	5.31	122.35
O14368	6533.07	16789.56	100.46	19091.05
O94396	3.58	17.61	72.63	8.22
O59698	7.25	1.46	63.39	20.11
O14081	504.65	1014.83	105.51	195.16
Q9URY5	21.08	28.57	0.00	6.06
O94298	113.98	63.41	108.45	515.14
G2TRR9	9.48	0.00	1.66	210.69
O14088	297.36	1151.15	8.80	114.86
O14059	2.26	0.00	0.00	15.87
P32586	170.12	192.72	5.49	55.97
Q9URW3	67.70	15.09	4.71	237.69
Q10202	8.62	34.88	252.35	19.82
Q9USZ7	0.00	16.35	5.17	27.79
O13801	18.61	26.82	133.78	15.40
Q10265	1493.30	6656.33	22.73	525.74
P17610	5.04	0.00	0.00	143.70
O74775	121.84	138.16	35.03	409.98
Q9UT29	71.83	0.00	53.68	67.31
Q09817	9.64	51.58	107.70	19.05
O13702	2740.62	301.18	16.77	1178.36
Q09799	6.89	48.52	93.63	12.46
O42885	17.66	6.48	250.23	57.65
Q9URX4	10.13	43.56	2.26	10.93
Q10108	144.69	162.91	44.37	370.06
O74306	592.32	1584.65	1847.99	172.91
O74876	0.00	172.63	2.49	0.00
Q9P7T9	27.23	0.00	12.87	13.85
O60103	0.00	120.50	0.00	0.00
O74333	64.32	38.62	0.00	17.46
P79081	87.63	232.67	101.82	18.53
Q9P380	121.42	17.29	274.54	35.86
O42873	220.63	11.07	5.10	579.46
Q9HDY5	23.62	551.53	19.99	26.39
P87229	16.32	18.00	1.09	41.29
O74780	44.50	1.23	12.25	79.36
Q09918	13.28	3.11	3.33	73.50
Q9Y819	0.00	0.00	0.00	15.28
Q8TGM7	1172.28	4467.16	497.72	3369.76
Q9P7T9	6.52	2.18	0.00	366.75
P36604	350.67	1862.20	606.22	64.62
Q10092	60.59	759.90	64.03	18.80
Q9P7G0	11.30	24.52	122.79	17.80
c4491_g1_i1	249.96	1037.83	654.60	56.87
O14082	470.80	194.48	20.78	0.00
O59868	0.03	41.36	5.00	22.21
O94421	0.00	5.95	4.26	23.07
Q9P768	158.39	7.64	25.17	379.50
O13791	214.07	1685.05	82.76	154.48
c4605_g1_i1	1459.10	6902.64	404.54	4290.48
Q92341	0.00	3.52	82.79	2.56
Q09816	42.47	151.26	236.46	22.14
Q9URU9	44.16	29.83	7.97	91.15
O14091	125.12	271.18	24.34	66.53
O42991	360.47	928.51	995.32	115.37
O13844	6.56	73.88	125.05	15.64
C6Y4D4	61.02	12.27	23.32	996.96
O59824	43.11	8.26	0.00	11.02
O42634	40.70	199.01	22.14	14.10
Q9C1X5	195.91	78.41	23.33	191.43
O14014	57.57	5.94	6.16	77.26
Q9USX0	0.00	0.00	0.00	48.36
O14017	10.57	13.27	23.91	0.00
Q9P6J3	92.91	13.06	9.43	82.06
O42973	51.84	139.70	8.88	112.41
O14463	987.51	5190.95	806.88	250.29
O74770	500.48	328.06	14.52	39.79
P41390	14.03	9.94	0.00	37.59
Q9URZ0	33.35	4.17	0.74	68.17
Q9UTK0	7.71	46.65	95.87	14.18
Q92354	395.39	941.17	1593.85	40.78
O74521	45.32	36.92	5.09	137.62
O13741	9.32	106.78	116.82	11.56
O42914	1059.64	1567.39	2337.59	192.46
Q92383	18.41	30.49	3.26	57.56
O14112	412.56	1232.47	1761.92	168.36
P87115	11.49	46.21	109.92	9.65
Q96WU9	489.05	128.59	5.00	838.69
Q9UUI7	546.50	456.85	14.98	126.57
c5059_g1_i1	430.65	1062.94	38.68	591.12
Q7Z995	33.78	14.07	0.00	71.48
O14034	46.92	24.01	10.69	658.08
O43012	0.00	18.87	22.68	0.00
Q9HDX3	168.07	3.38	2.41	2637.38
Q9P4W9	481.31	862.76	1497.02	130.68
O60144	814.52	2415.67	2300.68	250.33
Q10211	291.43	117.69	2.88	274.33
O94338	144.94	34.59	18.11	270.59
Q9UTM8	1393.40	44.17	8.04	130.41
O94695	0.03	43.16	0.00	0.00
O74766	101.86	472.24	833.38	56.12
Q10342	6.85	21.56	57.83	4.53
Q9UT56	227.31	1054.67	1278.23	38.96
Q09676	31.08	56.87	630.78	131.27
c5878_g1_i1	589.04	23.19	2.07	917.58
O74382	2.18	0.00	7.84	50.53
Q09741	194.41	683.76	773.81	54.45
Q9UT79	24.92	0.00	16.32	0.00
O14277	460.83	1064.27	1722.05	230.43
Q8WZK4	8.32	103.13	0.19	3.67
O42662	8.15	5.23	0.00	27.76
Q9US41	13.90	37.48	2.32	144.94
c1393_g1_i1	223.38	991.51	512.12	107.86
Q09864	0.00	23.80	12.27	39.51
c1593_g2_i1	0.00	126.80	0.00	0.00
P57728	162.85	343.78	436.35	11.89
Q9URX9	5.63	22.79	80.50	20.86
c2316_g2_i1	54.09	2.48	13.56	15.62
O74538	505.64	1931.57	1847.00	102.13
Q10487	9.97	27.61	0.00	18.75
c4469_g2_i1	15.02	80.03	7.53	116.50
O60100	8.54	24.04	63.63	3.74
c2191_g1_i1	2.10	2.50	0.00	206.95
Q10212	58.56	12.77	2.48	87.65
c6147_g1_i1	4.31	6.07	1.44	55.82
O94426	532.21	619.21	88.42	59.22
P36624	203.12	57.36	14.07	123.58
O59759	38.52	0.00	15.64	108.19
Q9P6M1	590.63	268.07	44.95	354.10
P25457	325.25	1165.18	1580.30	172.65
O74401	44.56	202.28	17.56	28.61
O14169	245.72	149.60	29.08	516.98
c5499_g1_i1	134.61	17.65	13.72	331.51
Q9P7S1	10.07	21.83	0.00	0.13
Q9UT45	2.77	11.27	117.10	3.15
O94723	655.44	141.99	34.17	1157.41
c712_g1_i1	169.92	1267.58	385.45	86.12
P79057	442.51	1666.69	1709.06	123.91
P87143	16.22	17.10	0.00	25.22
Q9UTL8	0.00	0.00	12.05	0.00
c1381_g1_i1	153.69	355.05	490.04	56.30
c2826_g1_i2	3.02	89.71	2.60	0.00
Q11004	365.36	2400.00	474.43	26.93
G2TRR9	57.96	25.97	0.00	324.59
Q92365	582.40	2148.51	2358.76	281.78
O43090	695.83	182.61	80.38	1575.00
Q9C0Y7	411.87	3095.41	213.39	1531.79
O94590	0.00	0.00	0.00	26.01
Q9USG6	670.13	2760.32	2447.34	175.58
Q9HDX2	75.56	1.82	11.24	174.22
Q9P7C0	11.15	56.49	117.43	17.09
Q9US43	21.47	46.05	5.13	79.41
O43030	189.06	4286.38	195.05	57.96
Q9P7G6	40.65	38.37	135.73	10.64
O13788	0.00	34.96	0.00	3.75
